Name,IID,Execute,RunMode,HotStartSimulation,StartTime_Year,StartTime_Month,StartTime_Day,StartTime_Hour,EndTime_Year,EndTime_Month,EndTime_Day,EndTime_Hour,HotStartTime_Year,HotStartTime_Month,HotStartTime_Day,HotStartTime_Hour,MinCalcTime_Hydrology,MinCalcTime_SurfHydraulics,MinCalcTime_Groundwater,MaxCalcTime_SurfHydraulics,Comment,SaveRestart,RainfallSet,PM_ReferenceETSet,UnitHydrographSet,BoundaryStageSet,ExternalHydrographSet,CurveNumberSet,GreenAmptSet,RichardsEquationSet,ImperviousSet,RoughnessSet,PM_CropCoefSet,FillablePorositySet,ConductivitySet,LeakageSet,TimeMarching,MaxIterations,OverRelaxWeightFactor,dZTolerance,Max_dZ,LinkOptimizerTolerance,EdgeLengthOption,EdgeLengthFactor,DefaultDampThresh_2D,MinNodeSurfaceArea_2D,EnergySwitch_2D,IARecoveryTime,IncludeETManualBasins,RichEqSolution,RainfallOption_ManualBasin,RainfallOption_OFRegion,RainfallName,RainfallAmount,StormDuration,DefaultDampThresh_1D,MinNodeSurfaceArea_1D,EnergySwitch_1D
001-yr (1) 1-hr,207,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,001-yr (1) 1-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,1.914,1,0.05,100,0
001-yr (2) 2-hr,208,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,001-yr (2) 2-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,2.266,2,0.05,100,0
001-yr (3) 3-hr,209,0,0,,0,0,0,0,0,0,0,3,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,001-yr (3) 3-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,2.409,3,0.05,100,0
001-yr (4) 6-hr,210,0,0,,0,0,0,0,0,0,0,6,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,001-yr (4) 6-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,2.849,6,0.05,100,0
001-yr (5) 12-hr,211,0,0,,0,0,0,0,0,0,0,12,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,001-yr (5) 12-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,3.311,12,0.05,100,0
001-yr (6) 24-hr,212,0,0,,0,0,0,0,0,0,0,24,0,0,0,0,10,0.1,900,10,\n\n,0,ICPR3,,ICPR3,001-yr (6) 24-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,3.817,24,0.005,100,0
002-yr (1) 1-hr,186,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,002-yr (1) 1-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,2.277,1,0.05,100,0
002-yr (2) 2-hr,187,1,0,,0,0,0,0,0,0,0,2,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,002-yr (2) 2-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,2.717,2,0.05,100,0
002-yr (3) 3-hr,188,1,0,,0,0,0,0,0,0,0,3,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,002-yr (3) 3-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,2.893,3,0.05,100,0
002-yr (4) 6-hr,189,1,0,,0,0,0,0,0,0,0,6,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,002-yr (4) 6-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,3.421,6,0.05,100,0
002-yr (5) 12-hr,190,1,0,,0,0,0,0,0,0,0,12,0,0,0,0,1,0.1,900,1,\n\n,0,ICPR3,,ICPR3,002-yr (5) 12-hr,,,,,,,,,,,0,6,0.5,0.001,1,0.0001,0,0.667,0.005,1,1,24,0,0,1,1,Scsiii,3.971,12,0.05,100,0
