Parent,Year,Month,Day,Hour,TimeIncrement
"002-yr (6) 24-hr",0,0,0,-1.750000,5.000000
"010-yr (6) 24-hr",0,0,0,-1.750000,5.000000
"025-yr (6) 24-hr",0,0,0,-1.750000,5.000000
"025-yr (1) 1-hr",0,0,0,0.000000,5.000000
"025-yr (2) 2-hr",0,0,0,0.000000,5.000000
"025-yr (3) 3-hr",0,0,0,0.000000,5.000000
"025-yr (4) 6-hr",0,0,0,0.000000,5.000000
"025-yr (5) 12-hr",0,0,0,0.000000,5.000000
"010-yr (1) 1-hr",0,0,0,0.000000,5.000000
"010-yr (2) 2-hr",0,0,0,0.000000,5.000000
"010-yr (3) 3-hr",0,0,0,0.000000,5.000000
"010-yr (4) 6-hr",0,0,0,0.000000,5.000000
"010-yr (5) 12-hr",0,0,0,0.000000,5.000000
"005-yr (1) 1-hr",0,0,0,0.000000,5.000000
"005-yr (2) 2-hr",0,0,0,0.000000,5.000000
"005-yr (3) 3-hr",0,0,0,0.000000,5.000000
"005-yr (4) 6-hr",0,0,0,0.000000,5.000000
"005-yr (5) 12-hr",0,0,0,0.000000,5.000000
"005-yr (6) 24-hr",0,0,0,0.000000,5.000000
"002-yr (1) 1-hr",0,0,0,0.000000,5.000000
"002-yr (2) 2-hr",0,0,0,0.000000,5.000000
"002-yr (3) 3-hr",0,0,0,0.000000,5.000000
"002-yr (4) 6-hr",0,0,0,0.000000,5.000000
"002-yr (5) 12-hr",0,0,0,0.000000,5.000000
"001-yr (1) 1-hr",0,0,0,0.000000,5.000000
"001-yr (2) 2-hr",0,0,0,0.000000,5.000000
"001-yr (3) 3-hr",0,0,0,0.000000,5.000000
"001-yr (4) 6-hr",0,0,0,0.000000,5.000000
"001-yr (5) 12-hr",0,0,0,0.000000,5.000000
"001-yr (6) 24-hr",0,0,0,-1.750000,5.000000
